date,"m=3, W=140","m=3, W=70","m=3, W=280","m=4, W=140"
2008-01-22 08:00:00,,,,
2008-01-22 09:00:00,,,,
2008-01-22 10:00:00,,,,
2008-01-22 11:00:00,,,,
2008-01-22 12:00:00,,,,
2008-01-22 13:00:00,,,,
2008-01-22 14:00:00,,,,
2008-01-23 07:00:00,,,,
2008-01-23 08:00:00,,,,
2008-01-23 09:00:00,,,,
2008-01-23 10:00:00,,,,
2008-01-23 11:00:00,,,,
2008-01-23 12:00:00,,,,
2008-01-23 13:00:00,,,,
2008-01-23 14:00:00,,,,
2008-01-24 07:00:00,,,,
2008-01-24 08:00:00,,,,
2008-01-24 09:00:00,,,,
2008-01-24 10:00:00,,,,
2008-01-24 11:00:00,,,,
2008-01-24 12:00:00,,,,
2008-01-24 13:00:00,,,,
2008-01-24 14:00:00,,,,
2008-01-25 07:00:00,,,,
2008-01-25 08:00:00,,,,
2008-01-25 09:00:00,,,,
2008-01-25 10:00:00,,,,
2008-01-25 11:00:00,,,,
2008-01-25 12:00:00,,,,
2008-01-25 13:00:00,,,,
2008-01-25 14:00:00,,,,
2008-01-28 07:00:00,,,,
2008-01-28 08:00:00,,,,
2008-01-28 09:00:00,,,,
2008-01-28 10:00:00,,,,
2008-01-28 11:00:00,,,,
2008-01-28 12:00:00,,,,
2008-01-28 13:00:00,,,,
2008-01-28 14:00:00,,,,
2008-01-29 07:00:00,,,,
2008-01-29 08:00:00,,,,
2008-01-29 09:00:00,,,,
2008-01-29 10:00:00,,,,
2008-01-29 11:00:00,,,,
2008-01-29 12:00:00,,,,
2008-01-29 13:00:00,,,,
2008-01-29 14:00:00,,,,
2008-01-30 07:00:00,,,,
2008-01-30 08:00:00,,,,
2008-01-30 09:00:00,,,,
2008-01-30 10:00:00,,,,
2008-01-30 11:00:00,,,,
2008-01-30 12:00:00,,,,
2008-01-30 13:00:00,,,,
2008-01-30 14:00:00,,,,
2008-01-31 07:00:00,,,,
2008-01-31 08:00:00,,,,
2008-01-31 09:00:00,,,,
2008-01-31 10:00:00,,,,
2008-01-31 11:00:00,,,,
2008-01-31 12:00:00,,,,
2008-01-31 13:00:00,,,,
2008-01-31 14:00:00,,,,
2008-02-01 07:00:00,,,,
2008-02-01 08:00:00,,,,
2008-02-01 09:00:00,,,,
2008-02-01 10:00:00,,,,
2008-02-01 11:00:00,,,,
2008-02-01 12:00:00,,,,
2008-02-01 13:00:00,,0.9649177686038973,,
2008-02-01 14:00:00,,0.9739447158654657,,
2008-02-04 07:00:00,,0.9805364634128432,,
2008-02-04 08:00:00,,0.9805364634128432,,
2008-02-04 09:00:00,,0.9805364634128432,,
2008-02-04 10:00:00,,0.9805364634128432,,
2008-02-04 11:00:00,,0.9728838387399732,,
2008-02-04 12:00:00,,0.9684972407313811,,
2008-02-04 13:00:00,,0.964302647691355,,
2008-02-04 14:00:00,,0.9677500723803193,,
2008-02-05 07:00:00,,0.9652990249785712,,
2008-02-05 08:00:00,,0.9602823075977751,,
2008-02-05 09:00:00,,0.9567705564722774,,
2008-02-05 10:00:00,,0.9567705564722774,,
2008-02-05 11:00:00,,0.9567705564722774,,
2008-02-05 12:00:00,,0.9585368509463711,,
2008-02-05 13:00:00,,0.9595332282335871,,
2008-02-05 14:00:00,,0.9605618554399417,,
2008-02-06 07:00:00,,0.9660093305740263,,
2008-02-06 08:00:00,,0.9709435018949177,,
2008-02-06 09:00:00,,0.9700296706676064,,
2008-02-06 10:00:00,,0.9731486514337033,,
2008-02-06 11:00:00,,0.9731486514337033,,
2008-02-06 12:00:00,,0.9785638766486499,,
2008-02-06 13:00:00,,0.9791114499609493,,
2008-02-06 14:00:00,,0.9834980479695414,,
2008-02-07 07:00:00,,0.9834980479695414,,
2008-02-07 08:00:00,,0.9857520935890277,,
2008-02-07 09:00:00,,0.9857520935890277,,
2008-02-07 10:00:00,,0.9857520935890277,,
2008-02-07 11:00:00,,0.9857520935890277,,
2008-02-07 12:00:00,,0.9866659248163391,,
2008-02-07 13:00:00,,0.9822793268077471,,
2008-02-07 14:00:00,,0.9866659248163391,,
2008-02-08 07:00:00,,0.9847624507268904,,
2008-02-08 08:00:00,,0.9847624507268904,,
2008-02-08 09:00:00,,0.9838486194995788,,
2008-02-08 10:00:00,,0.9882352175081709,,
2008-02-08 11:00:00,,0.9847624507268904,,
2008-02-08 12:00:00,,0.9798282794059987,,
2008-02-08 13:00:00,,0.9773451554868554,,
2008-02-08 14:00:00,,0.9773451554868554,,
2008-02-11 07:00:00,,0.9822793268077471,,
2008-02-11 08:00:00,,0.9847624507268904,,
2008-02-11 09:00:00,,0.9847624507268902,,
2008-02-11 10:00:00,,0.9838486194995788,,
2008-02-11 11:00:00,,0.977885820972333,,
2008-02-11 12:00:00,,0.9798282794059989,,
2008-02-11 13:00:00,,0.9838486194995789,,
2008-02-11 14:00:00,,0.9873213862808594,,
2008-02-12 07:00:00,,0.9864992619400894,,
2008-02-12 08:00:00,,0.9873213862808596,,
2008-02-12 09:00:00,,0.9917079842894516,,
2008-02-12 10:00:00,,0.9917079842894516,,
2008-02-12 11:00:00,,0.9917079842894516,,
2008-02-12 12:00:00,,0.9917079842894516,,
2008-02-12 13:00:00,,0.9917079842894516,,
2008-02-12 14:00:00,,0.9937718765391934,,
2008-02-13 07:00:00,,0.9966578931297058,,
2008-02-13 08:00:00,,0.9937718765391934,,
2008-02-13 09:00:00,,0.9937718765391934,,
2008-02-13 10:00:00,,0.9950886004378737,,
2008-02-13 11:00:00,,0.9926054765187304,,
2008-02-13 12:00:00,,0.9926054765187304,,
2008-02-13 13:00:00,,0.9926054765187304,,
2008-02-13 14:00:00,,0.9912887526200501,,
2008-02-14 07:00:00,,0.9927206738987662,,
2008-02-14 08:00:00,,0.9892089227732684,,
2008-02-14 09:00:00,,0.9898408937442943,,
2008-02-14 10:00:00,,0.9898408937442943,,
2008-02-14 11:00:00,0.9896936244379987,0.993352644869792,,0.9610074837614543
2008-02-14 12:00:00,0.989833110016148,0.9927206738987662,,0.9610074837614543
2008-02-14 13:00:00,0.9915810632499781,0.9892089227732684,,0.9618802933353418
2008-02-14 14:00:00,0.9927211053238839,0.9898408937442943,,0.9622095290801722
2008-02-15 07:00:00,0.9909731520900537,0.988524169845614,,0.9611066578132632
2008-02-15 08:00:00,0.991929299904271,0.988524169845614,,0.9614912456010636
2008-02-15 09:00:00,0.991137494484658,0.9877770014945523,,0.9580816395919569
2008-02-15 10:00:00,0.9901813466704408,0.9838358963876852,,0.9577524038471266
2008-02-15 11:00:00,0.9909731520900537,0.9892089227732684,,0.9574645547896953
2008-02-15 12:00:00,0.9909731520900537,0.9877770014945523,,0.9580816395919571
2008-02-15 13:00:00,0.9901813466704408,0.9811852539471748,,0.9572345846487504
2008-02-15 14:00:00,0.9901813466704408,0.9811852539471748,,0.9575638203935808
2008-02-19 07:00:00,0.9901813466704408,0.9771649138535949,,0.9583374559156593
2008-02-19 08:00:00,0.9901813466704408,0.9704175648793132,,0.9572345846487504
2008-02-19 09:00:00,0.9901813466704408,0.9726716104987996,,0.9568499968609498
2008-02-19 10:00:00,0.991137494484658,0.9738059340018673,,0.9571378459183811
2008-02-19 11:00:00,0.9917732793116311,0.9726716104987996,,0.9568499968609498
2008-02-19 12:00:00,0.9908171314974136,0.9744379049728933,,0.9555380394408973
2008-02-19 13:00:00,0.9908171314974136,0.9758698262516093,,0.9540738996954288
2008-02-19 14:00:00,0.9925650847312437,0.9819324222982365,,0.9537446639505982
2008-02-20 07:00:00,0.9917848306151682,0.9798685300484945,,0.9534154282057677
2008-02-20 08:00:00,0.9907892578303651,0.9817720041379431,,0.953703277263199
2008-02-20 09:00:00,0.9913681080320971,0.9877770014945523,,0.9543981498809898
2008-02-20 10:00:00,0.9927008077127187,0.9926054765187305,,0.9572230581800364
2008-02-20 11:00:00,0.9936963804975218,0.9926054765187305,,0.9566427288643771
2008-02-20 12:00:00,0.9945080590226364,0.9926054765187304,,0.956354879806946
2008-02-20 13:00:00,0.994358236614176,0.9926054765187305,,0.9553721581317239
2008-02-20 14:00:00,0.9933198286311172,0.9926054765187304,,0.9539080183862554
2008-02-21 07:00:00,0.9935124862378333,0.9950886004378738,,0.9531941948536244
2008-02-21 08:00:00,0.9932181945402703,0.9922025838473617,,0.9535787826414248
2008-02-21 09:00:00,0.9921797865572116,0.9922025838473617,,0.9538666316988561
2008-02-21 10:00:00,0.9925563384236162,0.9922025838473615,,0.9524392474399903
2008-02-21 11:00:00,0.9913681080320971,0.9922025838473615,,0.9524392474399903
2008-02-21 12:00:00,0.9923636808169,0.9950886004378737,,0.9524392474399901
2008-02-21 13:00:00,0.992556338423616,0.9926054765187305,,0.9529017145953964
2008-02-21 14:00:00,0.9927008077127187,0.9926054765187304,,0.9529017145953963
2008-02-22 07:00:00,0.992700807712719,0.9940373977974465,,0.9533408624415616
2008-02-22 08:00:00,0.9927008077127187,0.9940373977974465,,0.9533408624415616
2008-02-22 09:00:00,0.99186809861579,0.9926054765187304,,0.953725450229362
2008-02-22 10:00:00,0.9918680986157898,0.9926054765187304,,0.9515176267325771
2008-02-22 11:00:00,0.9907280565418843,0.9884089724655784,,0.9515176267325771
2008-02-22 12:00:00,0.9894734169806758,0.9898408937442943,,0.9500534869871087
2008-02-22 13:00:00,0.9902536710967516,0.9898408937442943,,0.9520979560482364
2008-02-22 14:00:00,0.989473416980676,0.988524169845614,,0.9512509011050299
2008-02-25 07:00:00,0.9903515046754798,0.9933526448697922,,0.9512509011050299
2008-02-25 08:00:00,0.98928075937396,0.9898408937442944,,0.9504038461618233
2008-02-25 09:00:00,0.9866775541066376,0.9885241698456142,,0.9424982784701013
2008-02-25 10:00:00,0.9855375120327318,0.9864602775958721,,0.9431931510878921
2008-02-25 11:00:00,0.9870096972915031,0.9864602775958721,,0.9434810001453234
2008-02-25 12:00:00,0.9881497393654088,0.9864602775958721,,0.9431931510878923
2008-02-25 13:00:00,0.9881497393654088,0.982519172489005,,0.9460180593869391
2008-02-25 14:00:00,0.989473416980676,0.988524169845614,,0.9537145409255169
2008-02-26 07:00:00,0.9916842043561016,0.9920359209711118,,0.9551786806709853
2008-02-26 08:00:00,0.9926797771409046,0.9912887526200501,,0.9551786806709853
2008-02-26 09:00:00,0.9926797771409046,0.9877770014945525,,0.9571609024212262
2008-02-26 10:00:00,0.9928636714005931,0.988524169845614,,0.955800133867648
2008-02-26 11:00:00,0.9936963804975218,0.9920359209711118,,0.9561847216554485
2008-02-26 12:00:00,0.9936963804975218,0.9920359209711118,,0.9573610123434857
2008-02-26 13:00:00,0.9945080590226364,0.993352644869792,,0.9570317765986552
2008-02-26 14:00:00,0.9933198286311175,0.9920359209711118,,0.9570317765986552
2008-02-27 07:00:00,0.9938057910496298,0.9912887526200501,,0.9564146917963934
2008-02-27 08:00:00,0.9946174695747443,0.9927206738987662,,0.956670416568019
2008-02-27 09:00:00,0.9936941652192111,0.9933526448697922,,0.9577132130390844
2008-02-27 10:00:00,0.9949922391553455,0.9958357687889355,,0.9614520547930218
2008-02-27 11:00:00,0.9962329454737315,0.9958357687889355,,0.9624537273830838
2008-02-27 12:00:00,0.9964015059293913,0.9933526448697922,,0.9621658783256525
2008-02-27 13:00:00,0.9965633202921113,0.9885241698456142,,0.9624537273830838
2008-02-27 14:00:00,0.9954270607186969,0.9885241698456142,,0.9615809178091964
2008-02-28 07:00:00,0.9954270607186969,0.9877770014945523,,0.960093458754487
2008-02-28 08:00:00,0.9943419420004437,0.9864602775958721,,0.9597088709666864
2008-02-28 09:00:00,0.9930438680643093,0.9798685300484945,,0.958244731221218
2008-02-28 10:00:00,0.9930438680643093,0.9805005010195204,,0.958244731221218
2008-02-28 11:00:00,0.9930438680643093,0.9805005010195204,,0.957530907688587
2008-02-28 12:00:00,0.9941801276377237,0.9811852539471748,,0.9597387311853718
2008-02-28 13:00:00,0.9941801276377237,0.9838358963876852,,0.9579154954763875
2008-02-28 14:00:00,0.9941801276377235,0.9838358963876852,,0.9579154954763875
2008-02-29 07:00:00,0.9941801276377235,0.9838358963876852,,0.960452554718003
2008-02-29 08:00:00,0.9930438680643093,0.982519172489005,,0.9600679669302024
2008-02-29 09:00:00,0.9941801276377235,0.982519172489005,,0.9593541433975714
2008-02-29 10:00:00,0.9938627256748707,0.982519172489005,,0.9600679669302024
2008-02-29 11:00:00,0.9938627256748709,0.9864602775958721,,0.9592209119869959
2008-02-29 12:00:00,0.993694165219211,0.9838096351553616,,0.9600679669302024
2008-02-29 13:00:00,0.9932269408478979,0.9838096351553616,,0.9590662943401401
2008-02-29 14:00:00,0.9915484813746264,0.9864602775958721,,0.9571163681300245
2008-03-03 07:00:00,0.9915484813746264,0.9864602775958721,,0.955804410709972
2008-03-03 08:00:00,0.9915484813746264,0.9864602775958721,,0.9564214955122338
2008-03-03 09:00:00,0.9933767632563583,0.9870922485668979,,0.9597321902759276
2008-03-03 10:00:00,0.9938627256748709,0.988524169845614,,0.960908480963965
2008-03-03 11:00:00,0.9941801276377235,0.9864602775958721,,0.9612930687517653
2008-03-03 12:00:00,0.9930438680643093,0.988524169845614,,0.9618733980674246
2008-03-03 13:00:00,0.9913654085910376,0.988524169845614,,0.9621612471248558
2008-03-03 14:00:00,0.9913654085910376,0.9858735274051037,,0.9643202594881152
2008-03-04 07:00:00,0.9927264661014564,0.9912887526200502,,0.9668573187297306
2008-03-04 08:00:00,0.9940245400375909,0.9937718765391936,,0.9688072449398463
2008-03-04 09:00:00,0.9936941652192111,0.9930247081881319,,0.9681901601375844
2008-03-04 10:00:00,0.9949922391553453,0.994456629466848,,0.9696175443964503
2008-03-04 11:00:00,0.995478201573858,0.994456629466848,,0.9703313679290814
2008-03-04 12:00:00,0.9953163872111378,0.9930247081881317,,0.9709484527313433
2008-03-04 13:00:00,0.9964015059293911,0.9937718765391936,,0.9714109198867494
2008-03-04 14:00:00,0.9952652463559769,0.9958357687889355,,0.9705638649435427
2008-03-05 07:00:00,0.9952652463559769,0.9958357687889355,,0.9708931006883733
2008-03-05 08:00:00,0.9952652463559769,0.9937718765391936,,0.9705638649435427
2008-03-05 09:00:00,0.9962329454737313,0.9966578931297058,,0.9705638649435427
2008-03-05 10:00:00,0.9971562498292648,0.9966578931297058,,0.9701013977881365
2008-03-05 11:00:00,0.9971562498292645,0.9950886004378737,,0.9707184825903983
2008-03-05 12:00:00,0.9971562498292648,0.9930247081881319,,0.9781849024359548
2008-03-05 13:00:00,0.996825875010885,0.9930247081881319,,0.9785694902237554
2008-03-05 14:00:00,0.9972024268772894,0.9936566791591578,,0.9794165451669619
2008-03-06 07:00:00,0.9968074709352459,0.9907706625686457,,0.9787027216343309
2008-03-06 08:00:00,0.9973137394517676,0.9898568313413342,,0.9787027216343309
2008-03-06 09:00:00,0.9977086953938109,0.989856831341334,,0.9794165451669621
2008-03-06 10:00:00,0.9980390702121906,0.989856831341334,,0.9787027216343309
2008-03-06 11:00:00,0.9978772558494706,0.989856831341334,,0.9792462954633877
2008-03-06 12:00:00,0.9980390702121906,0.989856831341334,,0.9802479680534499
2008-03-06 13:00:00,0.9983988581700209,0.9869708147508218,,0.9796676387377907
2008-03-06 14:00:00,0.9977086953938109,0.9840847981603097,,0.9796676387377907
2008-03-07 07:00:00,0.998591515776737,0.9878846459781334,,0.9796676387377907
2008-03-07 08:00:00,0.9987600762323966,0.9907706625686457,,0.9796676387377907
2008-03-07 09:00:00,0.9992884246458864,0.9895519414068511,,0.9807104352088561
2008-03-07 10:00:00,0.9991198641902268,0.9901386915976196,,0.9795341445208188
2008-03-07 11:00:00,0.9985915157767369,0.9922025838473615,,0.9780700047753504
2008-03-07 12:00:00,0.9980852472602153,0.9922025838473617,,0.9770683321852882
2008-03-07 13:00:00,0.9975328016956692,0.9890347070005638,,0.976605865029882
2008-03-07 14:00:00,0.9978925896534995,0.988402736029538,,0.9755630685588164
2008-03-10 07:00:00,0.9970468392771568,0.9878159858387696,,0.9755630685588164
2008-03-10 08:00:00,0.9972024268772894,0.9853328619196263,,0.9743056711971286
2008-03-10 09:00:00,0.996807470935246,0.9840161380209459,,0.9757698109425971
2008-03-10 10:00:00,0.9966518833351135,0.9780533394937001,,0.9787948291639031
2008-03-10 11:00:00,0.9959617205589034,0.9766214182149839,,0.9780211936418249
2008-03-10 12:00:00,0.996145614818592,0.9825842167422297,,0.978735017174456
2008-03-10 13:00:00,0.9973863211369779,0.9834980479695414,,0.9802224762291655
2008-03-10 14:00:00,0.9982691415199039,0.9863840645600536,,0.981265272700231
2008-03-11 07:00:00,0.9982691415199039,0.9878159858387695,,0.9799045041466528
2008-03-11 08:00:00,0.9986135956737053,0.9912887526200501,,0.9799045041466528
2008-03-11 09:00:00,0.9986135956737053,0.9890347070005638,,0.9816611241503493
2008-03-11 10:00:00,0.9977678452973627,0.9890347070005638,,0.9810440393480875
2008-03-11 11:00:00,0.9973912934309581,0.9897194599282182,,0.980001242877022
2008-03-11 12:00:00,0.996838847866412,0.990351430899244,,0.980001242877022
2008-03-11 13:00:00,0.996838847866412,0.9865515830814204,,0.9803304786218526
2008-03-11 14:00:00,0.996838847866412,0.9823550790282682,,0.9797501493061932
2008-03-12 07:00:00,0.9966365495310846,0.9871835540524463,0.9966746621846854,0.9807518218962555
2008-03-12 08:00:00,0.9969539514939374,0.9871835540524463,0.9969742312353881,0.9816246314701429
2008-03-12 09:00:00,0.9969539514939374,0.9903514308992443,0.9972615294274364,0.982626304060205
2008-03-12 10:00:00,0.9980390702121906,0.9855229558750662,0.9977660886056613,0.982626304060205
2008-03-12 11:00:00,0.9985915157767369,0.9836194817856172,0.9979597508892766,0.9822417162724046
2008-03-12 12:00:00,0.9977086953938108,0.977614484429008,0.9980802465990363,0.9807775765269362
2008-03-12 13:00:00,0.9978772558494706,0.9782992373566627,0.9975476481893464,0.979904766953049
2008-03-12 14:00:00,0.9973912934309582,0.9739126393480706,0.9975476481893464,0.9799047669530487
2008-03-13 07:00:00,0.9978772558494706,0.9751313605098647,0.9972603499972983,0.9773745114272739
2008-03-13 08:00:00,0.9982538077158751,0.9751313605098647,0.9972603499972983,0.9773745114272739
2008-03-13 09:00:00,0.9984156220785952,0.9709348564567127,0.9972603499972983,0.9793244376373895
2008-03-13 10:00:00,0.9984156220785952,0.9715216066474812,0.9968905536274884,0.9789398498495891
2008-03-13 11:00:00,0.9975328016956692,0.9709348564567127,0.9968905536274884,0.9783227650473274
2008-03-13 12:00:00,0.9975328016956692,0.9763500816716593,0.9972603499972983,0.9793655615183928
2008-03-13 13:00:00,0.9982229644718792,0.9751313605098647,0.9976724526972285,0.9806229588800806
2008-03-13 14:00:00,0.9987754100364254,0.9805043868954483,0.9978315583289546,0.9820503431389466
2008-03-14 07:00:00,0.9982229644718792,0.9751313605098649,0.9976724526972285,0.9842581666357314
2008-03-14 08:00:00,0.9980611501091592,0.9739126393480706,0.9974586691911864,0.9833853570618439
2008-03-14 09:00:00,0.9982370438073008,0.9782992373566627,0.997589650720525,0.9833853570618439
2008-03-14 10:00:00,0.9982370438073008,0.980504386895448,0.9977905842154215,0.9829228899064378
2008-03-14 11:00:00,0.9982370438073008,0.9817231080572424,0.9976724526972285,0.9843502741653039
2008-03-14 12:00:00,0.9986135956737053,0.9865515830814204,0.9974996433047195,0.98481274132071
2008-03-14 13:00:00,0.9986135956737052,0.9871835540524463,0.9977180837210345,0.98481274132071
2008-03-14 14:00:00,0.9991198641902267,0.9903514308992443,0.9980499987452697,0.9858144139107723
2008-03-17 07:00:00,0.9992957578883684,0.9897194599282184,0.998411906411242,0.9849673589675656
2008-03-17 08:00:00,0.9984129375054425,0.9897194599282182,0.9985324021210015,0.98679059467655
2008-03-17 09:00:00,0.9982370438073009,0.9912887526200501,0.9986187668181526,0.9863281275211437
2008-03-17 10:00:00,0.9986135956737053,0.9937718765391934,0.9984421542650085,0.9859435397333434
2008-03-17 11:00:00,0.9978925896534995,0.9920359209711118,0.9984421542650085,0.9859435397333433
2008-03-17 12:00:00,0.9975751876906467,0.9899720287213697,0.9983593522883049,0.98679059467655
2008-03-17 13:00:00,0.9969963374889147,0.9912887526200501,0.9981106640182235,0.9853264549310815
2008-03-17 14:00:00,0.9973912934309581,0.9944566294668479,0.9981934659949271,0.9853264549310815
2008-03-18 07:00:00,0.9977510813887884,0.994456629466848,0.9982390970187329,0.9853264549310815
2008-03-18 08:00:00,0.9969963374889149,0.99652052171659,0.9983700785480714,0.9853264549310815
2008-03-18 09:00:00,0.9966365495310846,0.9957733533655283,0.9984645752787863,0.983569834927385
2008-03-18 10:00:00,0.9972153997328166,0.99734264605736,0.9986268988517164,0.985289699444479
2008-03-18 11:00:00,0.9975328016956694,0.99734264605736,0.9987550914120383,0.9849051116566784
2008-03-18 12:00:00,0.9972153997328166,0.994456629466848,0.9988362200464261,0.9844426445012723
2008-03-18 13:00:00,0.9968204437907732,0.994456629466848,0.9987417233157111,0.9830152602424065
2008-03-18 14:00:00,0.9966365495310846,0.994456629466848,0.9986605946813234,0.9840580567134719
2008-03-19 07:00:00,0.996838847866412,0.99734264605736,0.9985324021210015,0.9834777273978126
2008-03-19 08:00:00,0.996838847866412,0.995910724778644,0.9980499987452696,0.9821169588442343
2008-03-19 09:00:00,0.9973912934309581,0.9950886004378737,0.9980499987452697,0.9827340436464963
2008-03-19 10:00:00,0.9978772558494706,0.9944566294668479,0.9976724526972285,0.9837357162365584
2008-03-19 11:00:00,0.9982370438073008,0.9944566294668479,0.9974586691911864,0.984120304024359
2008-03-19 12:00:00,0.9984297014140168,0.9957733533655283,0.9972650069075712,0.985547688283225
2008-03-19 13:00:00,0.9984297014140168,0.9919735055477046,0.9966044348655781,0.9865904847542905
2008-03-19 14:00:00,0.9984297014140168,0.9919735055477046,0.9966044348655781,0.9853330873926026
2008-03-20 07:00:00,0.9984297014140168,0.9940373977974465,0.9969742312353881,0.9853330873926026
2008-03-20 08:00:00,0.9977678452973625,0.9940373977974465,0.9970152053489211,0.9857176751804029
2008-03-20 09:00:00,0.9972394968838728,0.9919735055477047,0.9966454089791112,0.9854298261229717
2008-03-20 10:00:00,0.9980852472602153,0.9877770014945523,0.9966044348655781,0.9854298261229717
2008-03-20 11:00:00,0.9980852472602155,0.987092248566898,0.9969742312353881,0.9858922932783781
2008-03-20 12:00:00,0.9980852472602155,0.9891561408166398,0.99718801474143,0.986606116811009
2008-03-20 13:00:00,0.9980852472602152,0.9891561408166398,0.997478790413613,0.986143649655603
2008-03-20 14:00:00,0.9980852472602155,0.9919207235910761,0.9976724526972286,0.9857590618678024
2008-03-24 07:00:00,0.9974233911435613,0.993352644869792,0.9974073198813094,0.9857590618678026
2008-03-24 08:00:00,0.9970468392771568,0.9940373977974467,0.9976946180733577,0.9852965947123964
2008-03-24 09:00:00,0.9970468392771568,0.9972052746442445,0.99805652573933,0.9849120069245958
2008-03-24 10:00:00,0.9980852472602152,0.99652052171659,0.9977435885923,0.985374474080002
2008-03-24 11:00:00,0.9973950844840055,0.9950886004378738,0.9977435885923,0.985374474080002
2008-03-24 12:00:00,0.9973950844840055,0.9966578931297055,0.99805652573933,0.9875822975767866
2008-03-24 13:00:00,0.9975789787436938,0.9937718765391936,0.9976946180733577,0.9879668853645871
2008-03-24 14:00:00,0.9982691415199039,0.9937718765391934,0.9981770214490895,0.9879668853645871
2008-03-25 07:00:00,0.9972307335368453,0.9917079842894516,0.99805652573933,0.9871198304213806
2008-03-25 08:00:00,0.9972307335368453,0.9908858599486813,0.9978873590654748,0.9866340439567334
2008-03-25 09:00:00,0.9982691415199039,0.988402736029538,0.9979737237626264,0.9881215030114427
2008-03-25 10:00:00,0.9982691415199039,0.9897194599282184,0.9975306874622664,0.9885839701668491
2008-03-25 11:00:00,0.9978925896534994,0.993519307746042,0.998013090837998,0.9863761466700641
2008-03-25 12:00:00,0.9970468392771568,0.9897194599282182,0.9975796579812085,0.9863761466700641
2008-03-25 13:00:00,0.9970468392771568,0.9912887526200501,0.9975796579812085,0.9869564759857233
2008-03-25 14:00:00,0.9970468392771568,0.988402736029538,0.9975796579812085,0.9861094210425168
2008-03-26 07:00:00,0.9970468392771568,0.9840161380209459,0.9970586446835101,0.9853955975098858
2008-03-26 08:00:00,0.9970468392771568,0.9821126639314971,0.9972595781784069,0.9861094210425168
2008-03-26 09:00:00,0.9978925896534995,0.9864992619400894,0.9975796579812085,0.9869564759857236
2008-03-26 10:00:00,0.9980852472602155,0.9857520935890277,0.9977846995047754,0.9861094210425168
2008-03-26 11:00:00,0.9980852472602155,0.9846177700859599,0.9977846995047754,0.9883172445393016
2008-03-26 12:00:00,0.9978925896534995,0.9886381101795398,0.9977846995047754,0.9891642994825083
2008-03-26 13:00:00,0.9972307335368452,0.9857520935890277,0.9977846995047754,0.9900113544257151
2008-03-26 14:00:00,0.9972307335368452,0.9846177700859596,0.9977846995047754,0.9885839701668491
2008-03-27 07:00:00,0.9966518833351135,0.9846177700859599,0.9977846995047754,0.9877369152236424
2008-03-27 08:00:00,0.9961846589638004,0.9833010461872795,0.9977846995047754,0.9884507387562733
2008-03-27 09:00:00,0.9966518833351135,0.9813585877536136,0.9975796579812085,0.9884507387562733
2008-03-27 10:00:00,0.9975751876906467,0.9838096351553616,0.9972595781784068,0.9888353265440737
2008-03-27 11:00:00,0.9975751876906467,0.9886381101795397,0.9976536439598247,0.9888353265440739
2008-03-27 12:00:00,0.9982370438073009,0.9846177700859599,0.9978586854833916,0.9888353265440739
2008-03-27 13:00:00,0.9975751876906467,0.9833010461872795,0.9977357289858333,0.9888353265440739
2008-03-27 14:00:00,0.9978925896534995,0.9873213862808596,0.9977357289858333,0.9888353265440737
2008-03-28 07:00:00,0.9982370438073008,0.9893852785306015,0.998013090837998,0.9884507387562731
2008-03-28 08:00:00,0.9969963374889147,0.9899720287213698,0.9975796579812085,0.9884507387562733
2008-03-28 09:00:00,0.9966518833351135,0.9899720287213698,0.9970972546054767,0.986963279701564
2008-03-28 10:00:00,0.9956563105503106,0.9873213862808596,0.9970586446835101,0.9862494561689328
2008-03-28 11:00:00,0.9960007647041117,0.9819061610659129,0.9972595781784066,0.9862494561689328
2008-03-28 12:00:00,0.9960007647041117,0.9819061610659129,0.9976536439598247,0.9859202204241021
2008-03-28 13:00:00,0.9960007647041117,0.977885820972333,0.9976536439598247,0.9870230916910111
2008-03-28 14:00:00,0.9960007647041118,0.9805364634128434,0.9976536439598247,0.985535632636302
2008-03-31 07:00:00,0.9960007647041118,0.9780533394936999,0.9977905842154218,0.9855356326363017
2008-03-31 08:00:00,0.9960007647041118,0.974341819927697,0.997589650720525,0.985535632636302
2008-03-31 09:00:00,0.9960007647041117,0.9754026970531897,0.9974586691911866,0.9837123969273175
2008-03-31 10:00:00,0.9960007647041117,0.9797892950617817,0.9972193758837652,0.985535632636302
2008-03-31 11:00:00,0.9960007647041117,0.9833010461872795,0.997589650720525,0.9846885776930951
2008-03-31 12:00:00,0.9960007647041117,0.9833010461872795,0.9977787489939883,0.9846885776930951
2008-03-31 13:00:00,0.9954483191395657,0.9789144481786874,0.9977787489939883,0.9829319576893986
2008-03-31 14:00:00,0.9954483191395657,0.980817922268136,0.9981562950420294,0.9814678179439302
2008-04-01 07:00:00,0.9943120595661513,0.9766214182149839,0.997967196768566,0.9814678179439302
2008-04-01 08:00:00,0.9945250147840324,0.9785638766486499,0.998180980274608,0.9800404336850642
2008-04-01 09:00:00,0.9945250147840324,0.9817317534954476,0.9986633836503398,0.9812167243731015
2008-04-01 10:00:00,0.9945250147840324,0.9822793268077471,0.9986633836503396,0.9815045734305325
